CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
ThreeEighthesIntegrator,0,0,0,100,0,5,5,1,0,2,2
EulerFieldIntegrator,0,0,0,100,0,8,8,1,0,5,5
AdaptiveStepsizeIntegrator,7,39,46,0.847826087,3,83,86,0.965116279,6,29,35
EmbeddedRungeKuttaIntegrator,0,54,54,1,0,112,112,1,0,36,36
HighamHall54FieldStepInterpolator,1,3,4,0.75,0,30,30,1,1,4,5
LutherStepInterpolator,1,7,8,0.875,0,50,50,1,1,8,9
EulerIntegrator,0,0,0,100,0,5,5,1,0,2,2
GillIntegrator,0,0,0,100,0,8,8,1,0,2,2
DormandPrince853Integrator,0,6,6,1,0,43,43,1,0,8,8
LutherFieldIntegrator,0,2,2,1,0,47,47,1,0,6,6
ClassicalRungeKuttaFieldStepInterpolator,1,3,4,0.75,0,26,26,1,1,4,5
ThreeEighthesFieldIntegrator,0,2,2,1,0,24,24,1,0,6,6
ClassicalRungeKuttaFieldIntegrator,0,2,2,1,0,24,24,1,0,6,6
LutherIntegrator,0,0,0,100,0,6,6,1,0,2,2
GraggBulirschStoerStepInterpolator,15,43,58,0.74137931,9,127,136,0.933823529,14,25,39
HighamHall54StepInterpolator,1,7,8,0.875,0,41,41,1,1,7,8
AdamsMoultonFieldIntegrator.Corrector,2,6,8,0.75,0,23,23,1,2,6,8
DormandPrince853FieldIntegrator,1,7,8,0.875,1,229,230,0.995652174,1,11,12
AdaptiveStepsizeFieldIntegrator,14,28,42,0.666666667,10,77,87,0.885057471,13,19,32
MidpointIntegrator,0,0,0,100,0,5,5,1,0,2,2
DormandPrince54Integrator,0,4,4,1,0,16,16,1,0,7,7
DormandPrince853FieldStepInterpolator,1,7,8,0.875,0,182,182,1,1,7,8
AdamsIntegrator,0,0,0,100,0,10,10,1,0,5,5
LutherFieldStepInterpolator,1,3,4,0.75,0,48,48,1,1,4,5
AdamsFieldStepInterpolator,0,6,6,1,1,31,32,0.96875,1,7,8
RungeKuttaFieldStepInterpolator,0,6,6,1,0,14,14,1,0,9,9
GraggBulirschStoerIntegrator,22,212,234,0.905982906,7,305,312,0.977564103,22,109,131
DormandPrince54FieldStepInterpolator,1,3,4,0.75,0,124,124,1,1,4,5
DormandPrince54FieldIntegrator,0,6,6,1,0,75,75,1,0,11,11
MidpointStepInterpolator,1,7,8,0.875,0,24,24,1,1,7,8
AdamsBashforthFieldIntegrator,2,34,36,0.944444444,1,79,80,0.9875,2,20,22
AdamsBashforthIntegrator,3,35,38,0.921052632,4,83,87,0.954022989,3,20,23
AdamsNordsieckFieldTransformer,0,32,32,1,0,75,75,1,0,23,23
MidpointFieldIntegrator,0,0,0,100,0,13,13,1,0,5,5
AdamsMoultonFieldIntegrator,1,29,30,0.966666667,1,70,71,0.985915493,1,17,18
DormandPrince54StepInterpolator,1,15,16,0.9375,0,62,62,1,1,13,14
EulerStepInterpolator,1,7,8,0.875,0,13,13,1,1,7,8
AdamsFieldIntegrator,0,0,0,100,0,10,10,1,0,5,5
GillStepInterpolator,1,7,8,0.875,0,43,43,1,1,8,9
RealLinearOperator,0,0,0,100,2,1,3,0.333333333,2,1,3
FieldLUDecomposition.Solver,2,52,54,0.962962963,2,80,82,0.975609756,2,31,33
DefaultIterativeLinearSolverEvent,3,1,4,0.25,2,17,19,0.894736842,3,6,9
BlockRealMatrix,14,264,278,0.949640288,38,690,728,0.947802198,11,182,193
SymmLQ,2,8,10,0.8,13,48,61,0.786885246,7,10,17
LUDecomposition.Solver,0,38,38,1,0,55,55,1,0,24,24
RRQRDecomposition,2,18,20,0.9,1,47,48,0.979166667,2,15,17
RRQRDecomposition.Solver,0,0,0,100,1,7,8,0.875,1,4,5
DefaultFieldMatrixPreservingVisitor,0,0,0,100,1,5,6,0.833333333,1,3,4
RectangularCholeskyDecomposition,2,26,28,0.928571429,2,54,56,0.964285714,2,16,18
LUDecomposition,0,54,54,1,0,85,85,1,0,35,35
SymmLQ.State,9,51,60,0.85,7,171,178,0.960674157,9,35,44
Array2DRowRealMatrix,7,89,96,0.927083333,5,188,193,0.974093264,7,72,79
SingularValueDecomposition.new DefaultRealMatrixPreservingVisitor() {...},0,0,0,100,0,3,3,1,0,2,2
EigenDecomposition.Solver,2,36,38,0.947368421,2,63,65,0.969230769,2,23,25
SparseRealVector,0,0,0,100,0,1,1,1,0,1,1
SparseFieldVector,36,76,112,0.678571429,72,207,279,0.741935484,38,71,109
NonSymmetricMatrixException,0,0,0,100,3,5,8,0.625,3,1,4
NonSquareOperatorException,0,0,0,100,0,2,2,1,0,1,1
CholeskyDecomposition.Solver,0,28,28,1,2,46,48,0.958333333,2,17,19
OpenMapRealVector.OpenMapEntry,0,0,0,100,2,5,7,0.714285714,1,3,4
MatrixUtils.BigFractionMatrixConverter,0,0,0,100,0,7,7,1,0,4,4
RealVector.Entry,0,0,0,100,0,9,9,1,0,5,5
BiDiagonalTransformer,7,103,110,0.936363636,3,155,158,0.981012658,10,55,65
DefaultRealMatrixChangingVisitor,0,0,0,100,1,3,4,0.75,1,3,4
DiagonalMatrix,1,37,38,0.973684211,1,84,85,0.988235294,1,42,43
SingularValueDecomposition,13,171,184,0.929347826,4,271,275,0.985454545,14,92,106
DefaultFieldMatrixChangingVisitor,0,0,0,100,1,5,6,0.833333333,1,3,4
AbstractFieldMatrix.new DefaultFieldMatrixPreservingVisitor() {...},0,0,0,100,0,3,3,1,0,2,2
AbstractFieldMatrix.new DefaultFieldMatrixPreservingVisitor() {...},0,0,0,100,0,6,6,1,0,3,3
AbstractFieldMatrix.new DefaultFieldMatrixChangingVisitor() {...},0,0,0,100,0,2,2,1,0,2,2
IllConditionedOperatorException,0,0,0,100,2,0,2,0,1,0,1
SingularMatrixException,0,0,0,100,0,2,2,1,0,1,1
CholeskyDecomposition,0,22,22,1,0,45,45,1,0,17,17
SparseFieldMatrix,8,2,10,0.2,29,24,53,0.452830189,8,10,18
AbstractRealMatrix.new DefaultRealMatrixPreservingVisitor() {...},0,0,0,100,0,3,3,1,0,2,2
AbstractRealMatrix.new DefaultRealMatrixPreservingVisitor() {...},0,0,0,100,0,6,6,1,0,3,3
AbstractRealMatrix.new DefaultRealMatrixChangingVisitor() {...},0,0,0,100,0,2,2,1,0,2,2
SingularValueDecomposition.Solver,0,6,6,1,0,16,16,1,0,8,8
AbstractRealMatrix.new RealMatrixPreservingVisitor() {...},0,0,0,100,0,6,6,1,0,4,4
AbstractRealMatrix.new RealMatrixPreservingVisitor() {...},0,2,2,1,0,11,11,1,0,5,5
EigenDecomposition,18,146,164,0.890243902,24,281,305,0.921311475,18,85,103
BlockFieldMatrix,34,230,264,0.871212121,97,634,731,0.867305062,22,162,184
OpenMapRealVector,7,117,124,0.943548387,23,269,292,0.921232877,11,99,110
QRDecomposition.Solver,0,44,44,1,0,84,84,1,0,27,27
OpenMapRealMatrix,4,20,24,0.833333333,18,82,100,0.82,4,24,28
Array2DRowFieldMatrix,9,83,92,0.902173913,22,177,199,0.889447236,12,68,80
HessenbergTransformer,3,51,54,0.944444444,1,76,77,0.987012987,4,29,33
RealVector.2.new Iterator() {...},0,0,0,100,1,5,6,0.833333333,1,3,4
RealVector.2.new Iterator() {...},0,0,0,100,1,5,6,0.833333333,1,3,4
RealVectorFormat,0,22,22,1,7,58,65,0.892307692,5,21,26
NonPositiveDefiniteMatrixException,0,0,0,100,3,7,10,0.7,3,1,4
JacobiPreconditioner,1,7,8,0.875,1,23,24,0.958333333,1,9,10
NonSquareMatrixException,0,0,0,100,0,2,2,1,0,1,1
JacobiPreconditioner.new RealLinearOperator() {...},0,0,0,100,2,3,5,0.6,2,2,4
DefaultRealMatrixPreservingVisitor,0,0,0,100,1,3,4,0.75,1,3,4
NonPositiveDefiniteOperatorException,0,0,0,100,0,2,2,1,0,1,1
AbstractFieldMatrix,39,203,242,0.838842975,54,375,429,0.874125874,34,149,183
PreconditionedIterativeLinearSolver,0,6,6,1,4,21,25,0.84,2,9,11
SchurTransformer,7,83,90,0.922222222,2,189,191,0.989528796,7,48,55
AbstractRealMatrix,22,176,198,0.888888889,35,338,373,0.90616622,19,134,153
MatrixDimensionMismatchException,0,0,0,100,0,8,8,1,0,5,5
RealVector.2.UnmodifiableEntry,0,0,0,100,0,3,3,1,0,3,3
RealMatrixFormat,3,41,44,0.931818182,11,95,106,0.896226415,10,30,40
OpenMapRealVector.OpenMapSparseIterator,0,0,0,100,1,7,8,0.875,1,3,4
NonSelfAdjointOperatorException,0,0,0,100,0,2,2,1,0,1,1
RealVector,0,82,82,1,2,210,212,0.990566038,2,90,92
SingularOperatorException,0,0,0,100,2,0,2,0,1,0,1
IterativeLinearSolverEvent,0,0,0,100,2,2,4,0.5,2,1,3
MatrixUtils,42,116,158,0.734177215,52,229,281,0.814946619,36,80,116
QRDecomposition,0,42,42,1,0,77,77,1,0,30,30
RealVector.new Iterator() {...},0,4,4,1,0,9,9,1,0,6,6
ArrayFieldVector,18,96,114,0.842105263,73,289,362,0.798342541,20,110,130
RealVector.new RealVector() {...},0,0,0,100,2,43,45,0.955555556,2,41,43
FieldLUDecomposition,2,52,54,0.962962963,0,82,82,1,2,32,34
ConjugateGradient,3,15,18,0.833333333,7,61,68,0.897058824,5,8,13
TriDiagonalTransformer,0,46,46,1,1,88,89,0.988764045,1,30,31
RealVector.SparseEntryIterator,2,12,14,0.857142857,3,19,22,0.863636364,3,9,12
MatrixUtils.FractionMatrixConverter,0,0,0,100,0,7,7,1,0,4,4
IterativeLinearSolver,0,6,6,1,10,17,27,0.62962963,3,6,9
ArrayRealVector,4,140,144,0.972222222,12,357,369,0.967479675,6,133,139
DefaultMeasurementModel,0,0,0,100,2,6,8,0.75,1,3,4
KalmanFilter,8,22,30,0.733333333,18,71,89,0.797752809,11,16,27
DefaultProcessModel,0,0,0,100,4,12,16,0.75,2,6,8
StorelessCovariance,7,15,22,0.681818182,9,27,36,0.75,7,16,23
PearsonsCorrelation,3,27,30,0.9,2,75,77,0.974025974,3,25,28
SpearmansCorrelation,5,27,32,0.84375,3,59,62,0.951612903,6,22,28
Covariance,4,12,16,0.75,5,48,53,0.905660377,5,17,22
KendallsCorrelation.new Comparator() {...},0,2,2,1,0,3,3,1,0,3,3
KendallsCorrelation,1,31,32,0.96875,3,85,88,0.965909091,2,22,24
StorelessBivariateCovariance,2,2,4,0.5,4,26,30,0.866666667,3,5,8
SimplexOptimizer,1,17,18,0.944444444,3,33,36,0.916666667,2,14,16
BaseAbstractMultivariateSimpleBoundsOptimizer,0,0,0,100,1,4,5,0.8,1,3,4
CMAESOptimizer,39,177,216,0.819444444,44,377,421,0.895486936,36,117,153
CMAESOptimizer.Sigma,0,4,4,1,0,7,7,1,0,4,4
NelderMeadSimplex,1,31,32,0.96875,3,82,85,0.964705882,2,23,25
PowellOptimizer.LineSearch,0,0,0,100,0,10,10,1,0,2,2
CMAESOptimizer.FitnessFunction,7,13,20,0.65,9,27,36,0.75,5,11,16
CMAESOptimizer.PopulationSize,1,1,2,0.5,1,5,6,0.833333333,1,2,3
PowellOptimizer,3,29,32,0.90625,3,85,88,0.965909091,3,20,23
SimplexOptimizer.new Comparator() {...},0,2,2,1,0,4,4,1,0,3,3
SimplexOptimizer.new MultivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2
AbstractSimplex,13,41,54,0.759259259,14,75,89,0.842696629,14,27,41
BOBYQAOptimizer.PathIsExploredException,0,0,0,100,2,0,2,0,1,0,1
BOBYQAOptimizer,105,519,624,0.831730769,157,1027,1184,0.867398649,90,243,333
PowellOptimizer.LineSearch.new UnivariateFunction() {...},0,2,2,1,0,6,6,1,0,3,3
MultivariateFunctionMappingAdapter.UpperBoundMapper,0,0,0,100,0,5,5,1,0,3,3
MultivariateFunctionMappingAdapter.LowerBoundMapper,0,0,0,100,0,5,5,1,0,3,3
MultiDirectionalSimplex,0,8,8,1,2,42,44,0.954545455,1,13,14
MultivariateFunctionPenaltyAdapter,3,17,20,0.85,3,26,29,0.896551724,3,9,12
CMAESOptimizer.DoubleIndex,6,0,6,0,7,5,12,0.416666667,5,2,7
BaseAbstractMultivariateOptimizer,5,33,38,0.868421053,3,62,65,0.953846154,6,29,35
BaseAbstractMultivariateVectorOptimizer,11,11,22,0.5,18,42,60,0.7,13,17,30
MultivariateFunctionMappingAdapter.LowerUpperBoundMapper,0,0,0,100,0,6,6,1,0,3,3
MultivariateFunctionMappingAdapter.NoBoundsMapper,0,0,0,100,0,4,4,1,0,3,3
MultivariateFunctionMappingAdapter,2,16,18,0.888888889,2,26,28,0.928571429,2,11,13
LocationFinder,1,5,6,0.833333333,1,11,12,0.916666667,1,4,5
HitHistogram,8,0,8,0,22,0,22,0,6,0,6
SmoothedDataHistogram,8,0,8,0,25,0,25,0,6,0,6
LocationFinder.Location,0,0,0,100,0,6,6,1,0,3,3
UnifiedDistanceMatrix,28,0,28,0,61,0,61,0,18,0,18
QuantizationError,8,0,8,0,22,0,22,0,6,0,6
TopographicErrorHistogram,10,0,10,0,25,0,25,0,7,0,7
Beta,5,83,88,0.943181818,7,128,135,0.948148148,8,47,55
Gamma.new ContinuedFraction() {...},0,0,0,100,0,3,3,1,0,3,3
Gamma,6,92,98,0.93877551,3,164,167,0.982035928,6,55,61
Beta.new ContinuedFraction() {...},0,2,2,1,0,8,8,1,0,4,4
Erf,0,28,28,1,0,84,84,1,0,19,19
BesselJ,19,113,132,0.856060606,12,242,254,0.952755906,20,51,71
BesselJ.BesselJResult,0,0,0,100,2,4,6,0.666666667,2,1,3
MixtureMultivariateRealDistribution,3,19,22,0.863636364,2,43,45,0.955555556,3,14,17
BetaDistribution,9,11,20,0.55,9,42,51,0.823529412,9,20,29
GammaDistribution,4,28,32,0.875,9,80,89,0.898876404,6,30,36
AbstractRealDistribution.new UnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2
ZipfDistribution,0,24,24,1,1,57,58,0.982758621,1,27,28
TriangularDistribution,4,36,40,0.9,3,58,61,0.950819672,7,27,34
FDistribution,0,12,12,1,0,56,56,1,0,24,24
LogisticDistribution,3,7,10,0.7,5,24,29,0.827586207,5,14,19
EnumeratedDistribution,17,25,42,0.595238095,17,45,62,0.725806452,14,15,29
ChiSquaredDistribution,0,0,0,100,0,22,22,1,0,16,16
SaddlePointExpansion,1,15,16,0.9375,1,41,42,0.976190476,1,11,12
UniformRealDistribution,0,14,14,1,5,31,36,0.861111111,3,20,23
NakagamiDistribution,2,4,6,0.666666667,2,27,29,0.931034483,2,16,18
ExponentialDistribution,0,24,24,1,4,61,65,0.938461538,3,28,31
HypergeometricDistribution,1,27,28,0.964285714,2,74,76,0.973684211,2,31,33
TDistribution,1,13,14,0.928571429,0,47,47,1,1,22,23
AbstractMultivariateRealDistribution,1,3,4,0.75,2,12,14,0.857142857,1,5,6
EnumeratedIntegerDistribution,0,30,30,1,0,66,66,1,0,28,28
PascalDistribution,3,9,12,0.75,4,34,38,0.894736842,4,14,18
GeometricDistribution,2,16,18,0.888888889,3,28,31,0.903225806,4,17,21
BinomialDistribution,3,21,24,0.875,4,29,33,0.878787879,4,20,24
CauchyDistribution,0,10,10,1,6,30,36,0.833333333,4,19,23
ZipfDistribution.ZipfRejectionInversionSampler,3,11,14,0.785714286,3,27,30,0.9,3,11,14
KolmogorovSmirnovDistribution,12,36,48,0.75,16,59,75,0.786666667,13,18,31
MixtureMultivariateNormalDistribution,0,2,2,1,2,9,11,0.818181818,1,4,5
GumbelDistribution,3,7,10,0.7,5,24,29,0.827586207,5,14,19
UniformIntegerDistribution,0,16,16,1,1,29,30,0.966666667,1,17,18
NormalDistribution,0,12,12,1,2,46,48,0.958333333,2,27,29
PoissonDistribution,4,40,44,0.909090909,8,99,107,0.925233645,7,32,39
ParetoDistribution,1,13,14,0.928571429,5,39,44,0.886363636,3,24,27
LogNormalDistribution,2,16,18,0.888888889,2,58,60,0.966666667,3,28,31
AbstractIntegerDistribution,9,35,44,0.795454545,9,56,65,0.861538462,9,23,32
LevyDistribution,3,7,10,0.7,7,26,33,0.787878788,6,14,20
LaplaceDistribution,3,11,14,0.785714286,5,24,29,0.827586207,5,16,21
BetaDistribution.ChengBetaSampler,0,22,22,1,0,48,48,1,0,14,14
AbstractRealDistribution,5,39,44,0.886363636,6,62,68,0.911764706,7,26,33
MultivariateNormalDistribution,6,22,28,0.785714286,10,49,59,0.830508475,6,16,22
WeibullDistribution,4,18,22,0.818181818,7,61,68,0.897058824,7,24,31
EnumeratedRealDistribution,3,37,40,0.925,1,81,82,0.987804878,3,34,37
ConstantRealDistribution,0,8,8,1,1,16,17,0.941176471,1,16,17
EuclideanDoublePoint,1,7,8,0.875,2,16,18,0.888888889,2,9,11
EuclideanIntegerPoint,1,7,8,0.875,2,16,18,0.888888889,2,9,11
Cluster,0,0,0,100,0,8,8,1,0,4,4
DBSCANClusterer.PointStatus,0,0,0,100,0,3,3,1,0,1,1
KMeansPlusPlusClusterer.EmptyClusterStrategy,0,0,0,100,0,5,5,1,0,1,1
KMeansPlusPlusClusterer,14,78,92,0.847826087,8,158,166,0.951807229,12,45,57
DBSCANClusterer,0,28,28,1,0,53,53,1,0,21,21
AlternativeHypothesis,0,0,0,100,0,4,4,1,0,1,1
TestUtils,0,0,0,100,11,44,55,0.8,11,40,51
WilcoxonSignedRankTest,2,34,36,0.944444444,5,55,60,0.916666667,3,24,27
ChiSquareTest,8,56,64,0.875,4,101,105,0.961904762,8,35,43
GTest,6,50,56,0.892857143,2,85,87,0.977011494,6,33,39
OneWayAnova.AnovaStats,0,0,0,100,0,5,5,1,0,1,1
MannWhitneyUTest,0,10,10,1,3,31,34,0.911764706,1,11,12
OneWayAnova,2,18,20,0.9,2,55,57,0.964912281,2,15,17
KolmogorovSmirnovTest,62,146,208,0.701923077,70,304,374,0.812834225,51,86,137
TTest,1,23,24,0.958333333,5,98,103,0.951456311,2,41,43
BinomialTest,7,19,26,0.730769231,7,30,37,0.810810811,7,10,17
HarmonicCurveFitter.ParameterGuesser,2,28,30,0.933333333,1,95,96,0.989583333,2,18,20
GaussianFitter.new Gaussian.Parametric() {...},0,0,0,100,1,10,11,0.909090909,0,3,3
PolynomialCurveFitter,1,3,4,0.75,2,26,28,0.928571429,2,6,8
AbstractCurveFitter.TheoreticalValuesFunction.new MultivariateVectorFunction() {...},0,2,2,1,0,6,6,1,0,3,3
AbstractCurveFitter.TheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,2,2,1,0,6,6,1,0,3,3
WeightedObservedPoint,0,0,0,100,0,8,8,1,0,4,4
GaussianFitter.ParameterGuesser.new Comparator() {...},15,5,20,0.25,15,8,23,0.347826087,10,2,12
HarmonicFitter.ParameterGuesser,2,28,30,0.933333333,1,93,94,0.989361702,2,18,20
SimpleCurveFitter,0,2,2,1,3,24,27,0.888888889,2,4,6
GaussianCurveFitter.ParameterGuesser.new Comparator() {...},15,5,20,0.25,15,8,23,0.347826087,10,2,12
GaussianFitter,0,0,0,100,0,6,6,1,0,3,3
AbstractCurveFitter.TheoreticalValuesFunction,0,2,2,1,0,11,11,1,0,4,4
AbstractCurveFitter,0,0,0,100,0,3,3,1,0,3,3
CurveFitter.TheoreticalValuesFunction,0,0,0,100,0,5,5,1,0,3,3
GaussianCurveFitter,0,4,4,1,0,28,28,1,0,8,8
PolynomialFitter,0,0,0,100,1,3,4,0.75,1,2,3
HarmonicFitter,0,0,0,100,0,4,4,1,0,3,3
CurveFitter.TheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,2,2,1,0,7,7,1,0,3,3
CurveFitter.TheoreticalValuesFunction.new MultivariateVectorFunction() {...},0,2,2,1,0,7,7,1,0,3,3
GaussianCurveFitter.new Gaussian.Parametric() {...},0,0,0,100,0,11,11,1,0,3,3
GaussianFitter.ParameterGuesser,6,28,34,0.823529412,5,55,60,0.916666667,6,19,25
WeightedObservedPoints,0,0,0,100,0,11,11,1,0,6,6
HarmonicCurveFitter,0,4,4,1,1,27,28,0.964285714,1,7,8
GaussianCurveFitter.ParameterGuesser,6,28,34,0.823529412,5,55,60,0.916666667,6,19,25
CurveFitter,0,2,2,1,2,26,28,0.928571429,1,8,9
Target,0,0,0,100,0,4,4,1,0,2,2
PointValuePair,2,4,6,0.666666667,0,10,10,1,2,6,8
MultivariateMultiStartOptimizer,0,0,0,100,0,2,2,1,0,1,1
PointValuePair.DataTransferObject,0,0,0,100,0,5,5,1,0,2,2
SimpleValueChecker,1,9,10,0.9,3,16,19,0.842105263,2,7,9
SimplePointChecker,2,10,12,0.833333333,3,21,24,0.875,3,7,10
LeastSquaresConverter,3,15,18,0.833333333,3,35,38,0.921052632,3,10,13
BaseMultivariateVectorMultiStartOptimizer,3,11,14,0.785714286,5,30,35,0.857142857,4,10,14
SimpleVectorValueChecker,0,12,12,1,3,21,24,0.875,1,9,10
DifferentiableMultivariateMultiStartOptimizer,0,0,0,100,2,0,2,0,1,0,1
BaseMultivariateMultiStartOptimizer,5,9,14,0.642857143,8,25,33,0.757575758,6,8,14
AbstractConvergenceChecker,0,0,0,100,4,8,12,0.666666667,1,4,5
Weight,2,0,2,0,6,4,10,0.4,2,2,4
PointVectorValuePair.DataTransferObject,0,0,0,100,0,5,5,1,0,2,2
MultivariateDifferentiableVectorMultiStartOptimizer,0,0,0,100,0,2,2,1,0,1,1
BaseMultivariateVectorMultiStartOptimizer.new Comparator() {...},2,6,8,0.75,1,11,12,0.916666667,2,5,7
BaseMultivariateMultiStartOptimizer.new Comparator() {...},5,3,8,0.375,2,7,9,0.777777778,4,2,6
MultivariateDifferentiableMultiStartOptimizer,0,0,0,100,0,2,2,1,0,1,1
InitialGuess,0,0,0,100,0,4,4,1,0,2,2
SimpleBounds,0,0,0,100,0,6,6,1,0,3,3
GoalType,0,0,0,100,0,3,3,1,0,1,1
DifferentiableMultivariateVectorMultiStartOptimizer,0,0,0,100,2,0,2,0,1,0,1
PointVectorValuePair,3,9,12,0.75,0,13,13,1,3,10,13
NaturalRanking,2,54,56,0.964285714,13,118,131,0.900763359,5,44,49
NaNStrategy,0,0,0,100,0,6,6,1,0,1,1
TiesStrategy,0,0,0,100,0,6,6,1,0,1,1
NaturalRanking.IntDoublePair,0,0,0,100,0,7,7,1,0,4,4
SumOfSquares,1,3,4,0.75,3,27,30,0.9,2,9,11
Product,2,6,8,0.75,3,34,37,0.918918919,3,12,15
SumOfLogs,1,3,4,0.75,3,27,30,0.9,2,9,11
Sum,2,6,8,0.75,4,33,37,0.891891892,4,11,15
NeuronSquareMesh2D,10,139,149,0.932885906,21,152,173,0.878612717,11,80,91
NeuronSquareMesh2D.HorizontalDirection,0,0,0,100,0,4,4,1,0,1,1
NeuronSquareMesh2D.SerializationProxy,0,0,0,100,0,7,7,1,0,2,2
NeuronSquareMesh2D.VerticalDirection,0,0,0,100,0,4,4,1,0,1,1
PolynomialFunctionNewtonForm,3,15,18,0.833333333,7,44,51,0.862745098,5,14,19
PolynomialFunctionLagrangeForm,3,31,34,0.911764706,15,73,88,0.829545455,5,22,27
PolynomialsUtils.JacobiKey,4,4,8,0.5,1,8,9,0.888888889,4,3,7
PolynomialSplineFunction,11,19,30,0.633333333,10,37,47,0.787234043,8,16,24
PolynomialsUtils,0,20,20,1,0,72,72,1,0,19,19
PolynomialFunction,15,47,62,0.758064516,25,84,109,0.770642202,14,34,48
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100,0,3,3,1,0,2,2
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100,0,3,3,1,0,2,2
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100,0,2,2,1,0,2,2
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100,0,8,8,1,0,2,2
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100,0,3,3,1,0,2,2
PolynomialFunction.Parametric,0,2,2,1,0,8,8,1,0,4,4
AklToussaintHeuristic,3,41,44,0.931818182,2,44,46,0.956521739,3,22,25
MonotoneChain,4,28,32,0.875,2,50,52,0.961538462,5,16,21
ConvexHull2D,2,28,30,0.933333333,1,53,54,0.981481481,2,19,21
MonotoneChain.new Comparator() {...},0,2,2,1,0,6,6,1,0,3,3
AbstractConvexHullGenerator2D,0,2,2,1,0,16,16,1,0,6,6
BigFractionFormat,2,19,21,0.904761905,8,54,62,0.870967742,7,18,25
FractionField,0,0,0,100,0,5,5,1,0,5,5
FractionField.LazyHolder,0,0,0,100,0,1,1,1,0,1,1
FractionConversionException,0,0,0,100,0,4,4,1,0,2,2
BigFractionField,0,0,0,100,0,5,5,1,0,5,5
FractionFormat,1,12,13,0.923076923,8,43,51,0.843137255,7,14,21
ProperBigFractionFormat,4,23,27,0.851851852,9,58,67,0.865671642,5,16,21
BigFraction,26,126,152,0.828947368,26,261,287,0.909407666,27,104,131
AbstractFormat,3,9,12,0.75,5,33,38,0.868421053,5,14,19
ProperFractionFormat,4,15,19,0.789473684,9,54,63,0.857142857,5,12,17
BigFractionField.LazyHolder,0,0,0,100,0,1,1,1,0,1,1
Fraction,8,90,98,0.918367347,5,179,184,0.972826087,8,73,81
LearningFactorFunctionFactory,0,8,8,1,0,6,6,1,0,6,6
KohonenUpdateAction,1,9,10,0.9,1,38,39,0.974358974,2,10,12
LearningFactorFunctionFactory.new LearningFactorFunction() {...},0,0,0,100,0,3,3,1,0,2,2
LearningFactorFunctionFactory.new LearningFactorFunction() {...},0,0,0,100,0,3,3,1,0,2,2
NeighbourhoodSizeFunctionFactory.new NeighbourhoodSizeFunction() {...},0,0,0,100,0,3,3,1,0,2,2
NeighbourhoodSizeFunctionFactory.new NeighbourhoodSizeFunction() {...},0,0,0,100,0,3,3,1,0,2,2
NeighbourhoodSizeFunctionFactory,0,0,0,100,0,2,2,1,0,2,2
KohonenTrainingTask,0,2,2,1,0,8,8,1,0,3,3
OrderedCrossover,0,14,14,1,0,37,37,1,0,10,10
ChromosomePair,0,0,0,100,1,6,7,0.857142857,1,3,4
FixedElapsedTime,1,5,6,0.833333333,3,8,11,0.727272727,2,4,6
InvalidRepresentationException,0,0,0,100,0,2,2,1,0,1,1
RandomKey,3,29,32,0.90625,4,63,67,0.940298507,4,24,28
TournamentSelection,1,3,4,0.75,5,13,18,0.722222222,3,4,7
BinaryMutation,1,3,4,0.75,1,8,9,0.888888889,1,3,4
BinaryChromosome,1,15,16,0.9375,1,22,23,0.956521739,1,12,13
Chromosome,1,7,8,0.875,1,15,16,0.9375,2,8,10
RandomKeyMutation,1,1,2,0.5,2,8,10,0.8,1,2,3
ElitisticListPopulation,0,6,6,1,0,20,20,1,0,8,8
OnePointCrossover,3,7,10,0.7,2,18,20,0.9,3,5,8
TournamentSelection.new ListPopulation() {...},0,0,0,100,1,1,2,0.5,1,1,2
CycleCrossover,1,21,22,0.954545455,2,42,44,0.954545455,2,14,16
ListPopulation,5,17,22,0.772727273,9,41,50,0.82,4,20,24
NPointCrossover,1,15,16,0.9375,2,35,37,0.945945946,2,10,12
FixedGenerationCount,1,3,4,0.75,2,9,11,0.818181818,2,3,5
AbstractListChromosome,1,1,2,0.5,0,12,12,1,1,6,7
GeneticAlgorithm,6,12,18,0.666666667,6,39,45,0.866666667,7,14,21
UniformCrossover,0,14,14,1,1,24,25,0.96,1,10,11
Frequency,9,47,56,0.839285714,11,143,154,0.928571429,8,57,65
Frequency.NaturalComparator,0,0,0,100,0,1,1,1,0,1,1
StatUtils,7,23,30,0.766666667,10,80,90,0.888888889,7,42,49
