CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_Complexity,,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,5,1,6,0.166666667,1,1,2,#N/A,0,0,0,0,0
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,0,7,7,1,0,2,2,#N/A,0,0,0,0,0
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,0,7,7,1,0,2,2,#N/A,0,0,0,0,0
BicubicSplineInterpolatingFunction,6,48,54,0.888888889,3,81,84,0.964285714,8,32,40,BicubicSplineInterpolatingFunction,117,0,8,32,0
TricubicSplineFunction,6,18,24,0.75,3,25,28,0.892857143,6,8,14,#N/A,0,0,0,0,0
SmoothingPolynomialBicubicSplineInterpolator,5,27,32,0.84375,5,45,50,0.9,6,14,20,SmoothingPolynomialBicubicSplineInterpolator,43,0,0,4,0
FieldHermiteInterpolator,0,30,30,1,0,64,64,1,0,19,19,FieldHermiteInterpolator,51,0,0,4,0
BicubicInterpolator.new BicubicInterpolatingFunction() {...},0,8,8,1,0,4,4,1,0,6,6,#N/A,0,0,0,0,0
TricubicFunction,6,18,24,0.75,3,25,28,0.892857143,6,8,14,#N/A,0,0,0,0,0
PiecewiseBicubicSplineInterpolator,4,10,14,0.714285714,1,7,8,0.875,4,5,9,PiecewiseBicubicSplineInterpolator,8,0,0,2,0
AkimaSplineInterpolator,3,23,26,0.884615385,4,63,67,0.940298507,3,14,17,AkimaSplineInterpolator,97,0,0,6,0
DividedDifferenceInterpolator,0,4,4,1,0,17,17,1,0,5,5,DividedDifferenceInterpolator,16,0,0,0,0
SplineInterpolator,0,12,12,1,0,38,38,1,0,8,8,SplineInterpolator,67,0,0,1,0
HermiteInterpolator,0,28,28,1,0,62,62,1,0,21,21,HermiteInterpolator,59,0,0,3,0
TricubicSplineInterpolator,4,50,54,0.925925926,1,78,79,0.987341772,4,27,31,TricubicSplineInterpolator,52,0,0,35,0
BicubicInterpolator,3,9,12,0.75,1,28,29,0.965517241,3,5,8,BicubicInterpolator,35,0,0,6,1
MicrosphereInterpolatingFunction,8,22,30,0.733333333,6,42,48,0.875,8,10,18,MicrosphereInterpolatingFunction,29,0,0,8,1
MicrosphereInterpolator,2,2,4,0.5,2,10,12,0.833333333,2,3,5,MicrosphereInterpolator,3,0,0,2,0
TricubicInterpolatingFunction,22,70,92,0.760869565,9,104,113,0.920353982,17,35,52,TricubicInterpolatingFunction,188,0,22,1,0
BicubicSplineInterpolator,3,31,34,0.911764706,1,48,49,0.979591837,3,19,22,BicubicSplineInterpolator,36,0,0,18,0
NevilleInterpolator,0,0,0,100,0,2,2,1,0,2,2,NevilleInterpolator,1,0,0,0,0
TricubicInterpolator.new TricubicInterpolatingFunction() {...},12,0,12,0,3,1,4,0.25,7,1,8,#N/A,0,0,0,0,0
BicubicInterpolatingFunction,6,42,48,0.875,1,63,64,0.984375,6,24,30,BicubicInterpolatingFunction,111,0,0,0,0
LinearInterpolator,0,8,8,1,0,18,18,1,0,6,6,LinearInterpolator,16,0,0,1,0
PiecewiseBicubicSplineInterpolatingFunction,16,36,52,0.692307692,5,48,53,0.905660377,13,17,30,PiecewiseBicubicSplineInterpolatingFunction,48,0,13,3,0
BicubicFunction,4,10,14,0.714285714,2,21,23,0.913043478,4,6,10,#N/A,0,0,0,0,0
BicubicSplineFunction,4,18,22,0.818181818,4,50,54,0.925925926,5,15,20,#N/A,0,0,0,0,0
TricubicInterpolator,4,16,20,0.8,1,51,52,0.980769231,4,8,12,TricubicInterpolator,56,0,17,6,0
UnivariatePeriodicInterpolator,0,6,6,1,0,28,28,1,0,6,6,UnivariatePeriodicInterpolator,18,0,0,3,0
NeuronString,4,18,22,0.818181818,5,40,45,0.888888889,6,13,19,NeuronString,40,0,2,3,0
NeuronString.SerializationProxy,0,0,0,100,0,5,5,1,0,2,2,#N/A,0,0,0,0,0
SumOfClusterVariances,1,5,6,0.833333333,0,13,13,1,1,4,5,SumOfClusterVariances,6,0,0,0,0
ClusterEvaluator,1,11,12,0.916666667,3,19,22,0.863636364,2,9,11,ClusterEvaluator,15,0,1,2,0
LegendreGaussIntegrator,1,12,13,0.923076923,4,68,72,0.944444444,2,12,14,LegendreGaussIntegrator,29,0,0,3,0
SimpsonIntegrator,5,7,12,0.583333333,7,22,29,0.75862069,5,5,10,SimpsonIntegrator,13,0,6,5,0
IterativeLegendreGaussIntegrator.new UnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
IterativeLegendreGaussIntegrator,1,7,8,0.875,1,34,35,0.971428571,1,9,10,IterativeLegendreGaussIntegrator,26,0,0,2,0
RombergIntegrator,4,8,12,0.666666667,6,31,37,0.837837838,4,6,10,RombergIntegrator,21,0,2,6,0
BaseAbstractUnivariateIntegrator,1,3,4,0.75,4,36,40,0.9,3,13,16,BaseAbstractUnivariateIntegrator,17,0,1,4,0
TrapezoidIntegrator,4,10,14,0.714285714,6,37,43,0.860465116,4,8,12,TrapezoidIntegrator,31,0,2,5,0
MidPointIntegrator,3,9,12,0.75,3,32,35,0.914285714,3,8,11,MidPointIntegrator,25,0,0,7,2
VectorFormat,1,15,16,0.9375,13,37,50,0.74,8,12,20,VectorFormat,25,0,6,2,0
HarmonicFitter.ParameterGuesser,2,28,30,0.933333333,1,93,94,0.989361702,2,18,20,#N/A,0,0,0,0,0
CurveFitter.OldTheoreticalValuesFunction,0,2,2,1,0,10,10,1,0,4,4,#N/A,0,0,0,0,0
PolynomialFitter,0,0,0,100,5,4,9,0.444444444,3,2,5,PolynomialFitter,2,0,4,0,0
GaussianFitter.ParameterGuesser.new Comparator() {...},15,5,20,0.25,13,7,20,0.35,10,2,12,#N/A,0,0,0,0,0
CurveFitter.OldTheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,2,2,1,0,7,7,1,0,3,3,#N/A,0,0,0,0,0
WeightedObservedPoint,0,0,0,100,0,8,8,1,0,4,4,WeightedObservedPoint,6,0,0,0,0
CurveFitter,1,3,4,0.75,10,22,32,0.6875,4,7,11,CurveFitter,29,0,13,0,0
GaussianFitter.ParameterGuesser,6,28,34,0.823529412,5,55,60,0.916666667,6,19,25,#N/A,0,0,0,0,0
CurveFitter.TheoreticalValuesFunction,8,0,8,0,21,0,21,0,7,0,7,#N/A,0,0,0,0,0
GaussianFitter,0,0,0,100,0,6,6,1,0,3,3,GaussianFitter,104,0,38,36,0
GaussianFitter.new Gaussian.Parametric() {...},0,0,0,100,1,10,11,0.909090909,0,3,3,#N/A,0,0,0,0,0
HarmonicFitter,0,0,0,100,0,4,4,1,0,3,3,HarmonicFitter,140,0,0,56,0
UnboundedSolutionException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
LinearConstraint,6,6,12,0.5,15,24,39,0.615384615,7,10,17,LinearConstraint,25,0,19,4,0
NonNegativeConstraint,0,0,0,100,0,4,4,1,0,2,2,NonNegativeConstraint,1,0,0,0,0
PivotSelectionRule,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
Relationship,0,3,3,1,1,11,12,0.916666667,1,5,6,Relationship,4,0,2,2,0
LinearObjectiveFunction,4,4,8,0.5,3,20,23,0.869565217,5,9,14,LinearObjectiveFunction,25,0,10,2,0
SimplexSolver,3,61,64,0.953125,6,101,107,0.943925234,5,39,44,SimplexSolver,95,0,1,31,11
LinearOptimizer,0,8,8,1,0,18,18,1,0,10,10,LinearOptimizer,11,0,0,0,0
LinearConstraintSet,2,0,2,0,4,5,9,0.555555556,2,2,4,LinearConstraintSet,1,0,3,0,0
NoFeasibleSolutionException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
SimplexTableau,11,127,138,0.920289855,10,205,215,0.953488372,14,92,106,SimplexTableau,354,0,26,21,10
SolutionCallback,0,4,4,1,0,5,5,1,0,6,6,SolutionCallback,4,0,0,0,0
AdamsMoultonIntegrator,2,30,32,0.9375,4,76,80,0.95,2,17,19,AdamsMoultonIntegrator,46,0,4,27,15
AdamsMoultonIntegrator.Corrector,2,6,8,0.75,0,21,21,1,2,6,8,#N/A,0,0,0,0,0
RungeKuttaStepInterpolator,7,23,30,0.766666667,2,49,51,0.960784314,7,14,21,RungeKuttaStepInterpolator,34,0,0,5,0
ClassicalRungeKuttaIntegrator,0,0,0,100,0,5,5,1,0,2,2,#N/A,0,0,0,0,0
HighamHall54Integrator,0,6,6,1,0,19,19,1,0,8,8,HighamHall54Integrator,11,0,0,1,9
DormandPrince853StepInterpolator,5,43,48,0.895833333,4,116,120,0.966666667,5,29,34,DormandPrince853StepInterpolator,262,0,0,4,1
AdamsNordsieckTransformer,0,20,20,1,1,68,69,0.985507246,1,17,18,AdamsNordsieckTransformer,56,0,1,10,1
ClassicalRungeKuttaStepInterpolator,1,7,8,0.875,0,35,35,1,1,7,8,ClassicalRungeKuttaStepInterpolator,64,0,0,8,0
RungeKuttaIntegrator,1,43,44,0.977272727,1,82,83,0.987951807,1,24,25,RungeKuttaIntegrator,97,0,1,11,1
ThreeEighthesStepInterpolator,1,7,8,0.875,0,38,38,1,1,7,8,ThreeEighthesStepInterpolator,77,0,0,10,0
ThreeEighthesIntegrator,0,0,0,100,0,5,5,1,0,2,2,#N/A,0,0,0,0,0
AdaptiveStepsizeIntegrator,6,40,46,0.869565217,2,84,86,0.976744186,5,30,35,AdaptiveStepsizeIntegrator,50,0,2,14,14
EmbeddedRungeKuttaIntegrator,0,54,54,1,0,112,112,1,0,36,36,EmbeddedRungeKuttaIntegrator,86,0,0,9,16
LutherStepInterpolator,1,7,8,0.875,0,50,50,1,1,8,9,LutherStepInterpolator,244,0,0,22,0
EulerIntegrator,0,0,0,100,0,5,5,1,0,2,2,#N/A,0,0,0,0,0
GillIntegrator,0,0,0,100,0,8,8,1,0,2,2,#N/A,0,0,0,0,0
DormandPrince853Integrator,0,6,6,1,0,43,43,1,0,8,8,DormandPrince853Integrator,30,0,0,1,22
LutherIntegrator,0,0,0,100,0,6,6,1,0,2,2,#N/A,0,0,0,0,0
GraggBulirschStoerStepInterpolator,15,43,58,0.74137931,9,127,136,0.933823529,14,25,39,GraggBulirschStoerStepInterpolator,156,0,7,16,10
HighamHall54StepInterpolator,1,7,8,0.875,0,41,41,1,1,7,8,HighamHall54StepInterpolator,135,0,0,12,0
MidpointIntegrator,0,0,0,100,0,5,5,1,0,2,2,MidPointIntegrator,25,0,0,7,2
DormandPrince54Integrator,0,4,4,1,0,16,16,1,0,7,7,DormandPrince54Integrator,24,0,0,0,2
AdamsIntegrator,0,0,0,100,0,10,10,1,0,5,5,AdamsIntegrator,3,0,0,0,0
GraggBulirschStoerIntegrator,22,212,234,0.905982906,7,305,312,0.977564103,22,109,131,GraggBulirschStoerIntegrator,288,0,3,91,49
MidpointStepInterpolator,1,7,8,0.875,0,24,24,1,1,7,8,MidpointStepInterpolator,26,0,0,6,0
AdamsBashforthIntegrator,3,31,34,0.911764706,4,74,78,0.948717949,3,17,20,AdamsBashforthIntegrator,28,0,4,21,19
DormandPrince54StepInterpolator,1,15,16,0.9375,0,62,62,1,1,13,14,DormandPrince54StepInterpolator,75,0,0,4,1
EulerStepInterpolator,1,7,8,0.875,0,13,13,1,1,7,8,EulerStepInterpolator,14,0,0,3,0
GillStepInterpolator,1,7,8,0.875,0,43,43,1,1,8,9,GillStepInterpolator,68,0,0,10,0
RealLinearOperator,0,0,0,100,2,1,3,0.333333333,2,1,3,RealLinearOperator,0,0,1,0,0
FieldLUDecomposition.Solver,2,52,54,0.962962963,2,80,82,0.975609756,2,31,33,#N/A,0,0,0,0,0
DefaultIterativeLinearSolverEvent,3,1,4,0.25,2,17,19,0.894736842,3,6,9,DefaultIterativeLinearSolverEvent,5,0,2,0,0
BlockRealMatrix,14,264,278,0.949640288,38,690,728,0.947802198,11,182,193,BlockRealMatrix,883,0,39,99,0
SymmLQ,2,8,10,0.8,13,48,61,0.786885246,7,10,17,SymmLQ,158,0,10,46,0
LUDecomposition.Solver,0,38,38,1,0,55,55,1,0,24,24,#N/A,0,0,0,0,0
RRQRDecomposition,2,18,20,0.9,1,47,48,0.979166667,2,15,17,RRQRDecomposition,26,0,0,12,0
RRQRDecomposition.Solver,0,0,0,100,1,7,8,0.875,1,4,5,#N/A,0,0,0,0,0
DefaultFieldMatrixPreservingVisitor,0,0,0,100,1,5,6,0.833333333,1,3,4,DefaultFieldMatrixPreservingVisitor,0,0,0,1,0
RectangularCholeskyDecomposition,2,26,28,0.928571429,2,54,56,0.964285714,2,16,18,RectangularCholeskyDecomposition,46,0,0,2,0
LUDecomposition,0,54,54,1,0,85,85,1,0,35,35,LUDecomposition,137,0,0,3,0
SymmLQ.State,9,51,60,0.85,7,171,178,0.960674157,9,35,44,#N/A,0,0,0,0,0
Array2DRowRealMatrix,7,89,96,0.927083333,5,188,193,0.974093264,7,72,79,Array2DRowRealMatrix,155,0,0,29,0
SingularValueDecomposition.new DefaultRealMatrixPreservingVisitor() {...},0,0,0,100,0,3,3,1,0,2,2,#N/A,0,0,0,0,0
EigenDecomposition.Solver,2,36,38,0.947368421,2,63,65,0.969230769,2,23,25,#N/A,0,0,0,0,0
SparseRealVector,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
SparseFieldVector,36,76,112,0.678571429,72,207,279,0.741935484,38,71,109,SparseFieldVector,120,0,66,42,0
NonSymmetricMatrixException,0,0,0,100,3,5,8,0.625,3,1,4,NonSymmetricMatrixException,0,0,3,0,0
NonSquareOperatorException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
CholeskyDecomposition.Solver,0,28,28,1,2,46,48,0.958333333,2,17,19,#N/A,0,0,0,0,0
OpenMapRealVector.OpenMapEntry,0,0,0,100,2,5,7,0.714285714,1,3,4,#N/A,0,0,0,0,0
MatrixUtils.BigFractionMatrixConverter,0,0,0,100,0,7,7,1,0,4,4,#N/A,0,0,0,0,0
RealVector.Entry,0,0,0,100,0,9,9,1,0,5,5,#N/A,0,0,0,0,0
BiDiagonalTransformer,7,103,110,0.936363636,3,155,158,0.981012658,10,55,65,BiDiagonalTransformer,213,0,3,9,0
DefaultRealMatrixChangingVisitor,0,0,0,100,1,3,4,0.75,1,3,4,DefaultRealMatrixChangingVisitor,0,0,1,1,0
DiagonalMatrix,1,37,38,0.973684211,1,84,85,0.988235294,1,42,43,DiagonalMatrix,64,0,0,8,0
SingularValueDecomposition,13,171,184,0.929347826,4,271,275,0.985454545,14,92,106,SingularValueDecomposition,369,0,2,66,11
DefaultFieldMatrixChangingVisitor,0,0,0,100,1,5,6,0.833333333,1,3,4,DefaultFieldMatrixChangingVisitor,0,0,1,1,0
AbstractFieldMatrix.new DefaultFieldMatrixPreservingVisitor() {...},0,0,0,100,0,3,3,1,0,2,2,#N/A,0,0,0,0,0
AbstractFieldMatrix.new DefaultFieldMatrixPreservingVisitor() {...},0,0,0,100,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
AbstractFieldMatrix.new DefaultFieldMatrixChangingVisitor() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
IllConditionedOperatorException,0,0,0,100,2,0,2,0,1,0,1,#N/A,0,0,0,0,0
SingularMatrixException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
CholeskyDecomposition,0,22,22,1,0,45,45,1,0,17,17,CholeskyDecomposition,93,0,2,2,0
SparseFieldMatrix,8,2,10,0.2,29,24,53,0.452830189,8,10,18,SparseFieldMatrix,8,0,13,5,0
AbstractRealMatrix.new DefaultRealMatrixPreservingVisitor() {...},0,0,0,100,0,3,3,1,0,2,2,#N/A,0,0,0,0,0
AbstractRealMatrix.new DefaultRealMatrixPreservingVisitor() {...},0,0,0,100,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
AbstractRealMatrix.new DefaultRealMatrixChangingVisitor() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
SingularValueDecomposition.Solver,0,6,6,1,0,16,16,1,0,8,8,#N/A,0,0,0,0,0
AbstractRealMatrix.new RealMatrixPreservingVisitor() {...},0,0,0,100,0,6,6,1,0,4,4,#N/A,0,0,0,0,0
AbstractRealMatrix.new RealMatrixPreservingVisitor() {...},0,2,2,1,0,11,11,1,0,5,5,#N/A,0,0,0,0,0
EigenDecomposition,18,146,164,0.890243902,24,281,305,0.921311475,18,85,103,EigenDecomposition,414,0,24,49,2
BlockFieldMatrix,34,230,264,0.871212121,97,634,731,0.867305062,22,162,184,BlockFieldMatrix,750,0,103,96,0
OpenMapRealVector,7,117,124,0.943548387,23,269,292,0.921232877,11,99,110,OpenMapRealVector,178,0,19,26,0
QRDecomposition.Solver,0,44,44,1,0,84,84,1,0,27,27,#N/A,0,0,0,0,0
OpenMapRealMatrix,4,20,24,0.833333333,18,82,100,0.82,4,24,28,OpenMapRealMatrix,53,0,9,7,1
Array2DRowFieldMatrix,9,83,92,0.902173913,23,176,199,0.884422111,13,67,80,Array2DRowFieldMatrix,132,0,9,33,0
HessenbergTransformer,3,51,54,0.944444444,1,76,77,0.987012987,4,29,33,HessenbergTransformer,104,0,1,4,0
RealVector.2.new Iterator() {...},0,0,0,100,1,5,6,0.833333333,1,3,4,#N/A,0,0,0,0,0
RealVector.2.new Iterator() {...},0,0,0,100,1,5,6,0.833333333,1,3,4,#N/A,0,0,0,0,0
RealVectorFormat,0,22,22,1,7,58,65,0.892307692,5,21,26,RealVectorFormat,28,0,4,4,1
NonPositiveDefiniteMatrixException,0,0,0,100,3,7,10,0.7,3,1,4,NonPositiveDefiniteMatrixException,0,0,3,2,0
JacobiPreconditioner,1,7,8,0.875,1,23,24,0.958333333,1,9,10,JacobiPreconditioner,15,0,2,1,0
NonSquareMatrixException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
JacobiPreconditioner.new RealLinearOperator() {...},0,0,0,100,2,3,5,0.6,2,2,4,#N/A,0,0,0,0,0
DefaultRealMatrixPreservingVisitor,0,0,0,100,1,3,4,0.75,1,3,4,DefaultRealMatrixPreservingVisitor,0,0,0,1,0
NonPositiveDefiniteOperatorException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
AbstractFieldMatrix,39,203,242,0.838842975,54,375,429,0.874125874,34,149,183,AbstractFieldMatrix,318,0,41,69,0
PreconditionedIterativeLinearSolver,0,6,6,1,4,21,25,0.84,2,9,11,PreconditionedIterativeLinearSolver,8,0,2,4,0
SchurTransformer,7,83,90,0.922222222,2,189,191,0.989528796,7,48,55,SchurTransformer,248,0,0,38,2
AbstractRealMatrix,22,176,198,0.888888889,35,338,373,0.90616622,19,134,153,AbstractRealMatrix,325,0,36,50,0
MatrixDimensionMismatchException,0,0,0,100,0,8,8,1,0,5,5,MatrixDimensionMismatchException,4,0,0,0,0
RealVector.2.UnmodifiableEntry,0,0,0,100,0,3,3,1,0,3,3,#N/A,0,0,0,0,0
RealMatrixFormat,3,41,44,0.931818182,11,95,106,0.896226415,10,30,40,RealMatrixFormat,47,0,11,5,0
OpenMapRealVector.OpenMapSparseIterator,0,0,0,100,1,7,8,0.875,1,3,4,#N/A,0,0,0,0,0
NonSelfAdjointOperatorException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
RealVector,0,82,82,1,2,210,212,0.990566038,2,90,92,RealVector,200,0,2,30,1
SingularOperatorException,0,0,0,100,2,0,2,0,1,0,1,#N/A,0,0,0,0,0
IterativeLinearSolverEvent,0,0,0,100,2,2,4,0.5,2,1,3,IterativeLinearSolverEvent,0,0,1,0,0
MatrixUtils,42,116,158,0.734177215,52,229,281,0.814946619,36,80,116,MatrixUtils,181,0,14,24,0
QRDecomposition,0,42,42,1,0,77,77,1,0,30,30,QRDecomposition,179,0,0,4,0
RealVector.new Iterator() {...},0,4,4,1,0,9,9,1,0,6,6,#N/A,0,0,0,0,0
ArrayFieldVector,18,96,114,0.842105263,73,289,362,0.798342541,20,110,130,ArrayFieldVector,169,0,32,82,0
RealVector.new RealVector() {...},0,0,0,100,2,43,45,0.955555556,2,41,43,#N/A,0,0,0,0,0
FieldLUDecomposition,2,52,54,0.962962963,0,82,82,1,2,32,34,FieldLUDecomposition,144,0,0,5,0
ConjugateGradient,3,15,18,0.833333333,7,61,68,0.897058824,5,8,13,ConjugateGradient,19,0,3,11,1
TriDiagonalTransformer,0,46,46,1,1,88,89,0.988764045,1,30,31,TriDiagonalTransformer,120,0,1,3,0
RealVector.SparseEntryIterator,2,12,14,0.857142857,3,19,22,0.863636364,3,9,12,#N/A,0,0,0,0,0
MatrixUtils.FractionMatrixConverter,0,0,0,100,0,7,7,1,0,4,4,#N/A,0,0,0,0,0
IterativeLinearSolver,0,6,6,1,10,17,27,0.62962963,3,6,9,IterativeLinearSolver,4,0,6,3,0
ArrayRealVector,4,140,144,0.972222222,12,357,369,0.967479675,6,133,139,ArrayRealVector,292,0,5,35,0
DefaultMeasurementModel,0,0,0,100,2,6,8,0.75,1,3,4,DefaultMeasurementModel,2,0,0,0,0
KalmanFilter,8,22,30,0.733333333,18,71,89,0.797752809,11,16,27,KalmanFilter,20,0,3,11,0
DefaultProcessModel,0,0,0,100,4,12,16,0.75,2,6,8,DefaultProcessModel,5,0,0,0,0
StorelessCovariance,7,15,22,0.681818182,9,27,36,0.75,7,16,23,StorelessCovariance,36,0,9,3,0
PearsonsCorrelation,3,27,30,0.9,2,75,77,0.974025974,3,25,28,PearsonsCorrelation,61,0,0,4,0
SpearmansCorrelation,5,27,32,0.84375,3,59,62,0.951612903,6,22,28,SpearmansCorrelation,38,0,2,1,0
Covariance,4,12,16,0.75,5,48,53,0.905660377,5,17,22,Covariance,35,0,1,3,0
KendallsCorrelation.new Comparator() {...},0,2,2,1,0,3,3,1,0,3,3,#N/A,0,0,0,0,0
KendallsCorrelation,1,31,32,0.96875,3,85,88,0.965909091,2,22,24,KendallsCorrelation,82,0,0,3,1
StorelessBivariateCovariance,2,2,4,0.5,4,26,30,0.866666667,3,5,8,StorelessBivariateCovariance,32,0,3,1,0
SimplexOptimizer,1,17,18,0.944444444,3,33,36,0.916666667,2,14,16,SimplexOptimizer,50,0,0,2,0
BaseAbstractMultivariateSimpleBoundsOptimizer,0,0,0,100,1,4,5,0.8,1,3,4,BaseAbstractMultivariateSimpleBoundsOptimizer,2,0,0,0,0
CMAESOptimizer,39,177,216,0.819444444,44,377,421,0.895486936,36,117,153,CMAESOptimizer,635,0,98,292,1
CMAESOptimizer.Sigma,0,4,4,1,0,7,7,1,0,4,4,#N/A,0,0,0,0,0
NelderMeadSimplex,1,31,32,0.96875,3,82,85,0.964705882,2,23,25,NelderMeadSimplex,124,0,0,10,0
PowellOptimizer.LineSearch,0,0,0,100,0,10,10,1,0,2,2,#N/A,0,0,0,0,0
CMAESOptimizer.FitnessFunction,8,12,20,0.6,10,26,36,0.722222222,6,10,16,#N/A,0,0,0,0,0
CMAESOptimizer.PopulationSize,1,1,2,0.5,1,5,6,0.833333333,1,2,3,#N/A,0,0,0,0,0
PowellOptimizer,3,29,32,0.90625,3,85,88,0.965909091,3,20,23,PowellOptimizer,72,0,0,61,0
SimplexOptimizer.new Comparator() {...},0,2,2,1,0,4,4,1,0,3,3,#N/A,0,0,0,0,0
SimplexOptimizer.new MultivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
AbstractSimplex,13,41,54,0.759259259,14,75,89,0.842696629,14,27,41,AbstractSimplex,132,0,4,8,4
BOBYQAOptimizer.PathIsExploredException,0,0,0,100,2,0,2,0,1,0,1,#N/A,0,0,0,0,0
BOBYQAOptimizer,105,519,624,0.831730769,157,1027,1184,0.867398649,90,243,333,BOBYQAOptimizer,2181,0,350,578,17
PowellOptimizer.LineSearch.new UnivariateFunction() {...},0,2,2,1,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
MultivariateFunctionMappingAdapter.UpperBoundMapper,0,0,0,100,0,5,5,1,0,3,3,#N/A,0,0,0,0,0
MultivariateFunctionMappingAdapter.LowerBoundMapper,0,0,0,100,0,5,5,1,0,3,3,#N/A,0,0,0,0,0
MultiDirectionalSimplex,0,8,8,1,2,42,44,0.954545455,1,13,14,MultiDirectionalSimplex,32,0,0,2,2
MultivariateFunctionPenaltyAdapter,3,17,20,0.85,3,26,29,0.896551724,3,9,12,MultivariateFunctionPenaltyAdapter,46,0,0,18,0
CMAESOptimizer.DoubleIndex,6,0,6,0,7,5,12,0.416666667,5,2,7,#N/A,0,0,0,0,0
BaseAbstractMultivariateOptimizer,5,33,38,0.868421053,3,62,65,0.953846154,6,29,35,BaseAbstractMultivariateOptimizer,47,0,0,1,0
BaseAbstractMultivariateVectorOptimizer,11,11,22,0.5,18,42,60,0.7,13,17,30,BaseAbstractMultivariateVectorOptimizer,22,0,11,1,1
MultivariateFunctionMappingAdapter.LowerUpperBoundMapper,0,0,0,100,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
MultivariateFunctionMappingAdapter.NoBoundsMapper,0,0,0,100,0,4,4,1,0,3,3,#N/A,0,0,0,0,0
MultivariateFunctionMappingAdapter,2,16,18,0.888888889,2,26,28,0.928571429,2,11,13,MultivariateFunctionMappingAdapter,54,0,0,20,0
Beta,5,83,88,0.943181818,7,128,135,0.948148148,8,47,55,Beta,228,0,5,26,5
Gamma.new ContinuedFraction() {...},0,0,0,100,0,3,3,1,0,3,3,#N/A,0,0,0,0,0
Gamma,7,83,90,0.922222222,5,158,163,0.969325153,7,50,57,Gamma,268,0,7,39,4
Beta.new ContinuedFraction() {...},0,2,2,1,0,8,8,1,0,4,4,#N/A,0,0,0,0,0
Erf,0,28,28,1,0,84,84,1,0,19,19,Erf,143,0,0,24,0
BesselJ,19,113,132,0.856060606,12,242,254,0.952755906,20,51,71,BesselJ,240,0,12,115,1
BesselJ.BesselJResult,0,0,0,100,2,4,6,0.666666667,2,1,3,#N/A,0,0,0,0,0
MixtureMultivariateRealDistribution,3,19,22,0.863636364,2,43,45,0.955555556,3,14,17,MixtureMultivariateRealDistribution,34,0,1,3,0
BetaDistribution,9,11,20,0.55,11,39,50,0.78,10,18,28,BetaDistribution,38,0,9,5,1
GammaDistribution,4,28,32,0.875,9,80,89,0.898876404,6,30,36,GammaDistribution,100,0,14,33,2
AbstractRealDistribution.new UnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
ZipfDistribution,0,22,22,1,1,54,55,0.981818182,1,25,26,ZipfDistribution,50,0,1,3,1
TriangularDistribution,4,36,40,0.9,3,58,61,0.950819672,7,27,34,TriangularDistribution,106,0,3,11,0
FDistribution,0,12,12,1,0,56,56,1,0,24,24,FDistribution,56,0,0,4,1
LogisticDistribution,3,7,10,0.7,5,24,29,0.827586207,5,14,19,LogisticDistribution,31,0,7,6,0
EnumeratedDistribution,17,25,42,0.595238095,17,46,63,0.73015873,14,15,29,EnumeratedDistribution,34,0,12,7,0
ChiSquaredDistribution,0,0,0,100,0,22,22,1,0,16,16,ChiSquaredDistribution,13,0,0,1,1
SaddlePointExpansion,1,15,16,0.9375,1,41,42,0.976190476,1,11,12,SaddlePointExpansion,51,0,6,14,5
UniformRealDistribution,0,14,14,1,5,31,36,0.861111111,3,20,23,UniformRealDistribution,41,0,1,3,0
NakagamiDistribution,2,4,6,0.666666667,2,27,29,0.931034483,2,16,18,NakagamiDistribution,26,0,0,17,1
ExponentialDistribution,0,24,24,1,4,61,65,0.938461538,3,28,31,ExponentialDistribution,45,0,2,7,2
